노선,역명_clean,전역_clean,소요시간
수인분당선,왕십리,서울숲,0.0
수인분당선,청량리,왕십리,0.0
경강선,판교,,0.0
경강선,성남,판교,26.0
경강선,이매,성남,78.0
경강선,삼동,이매,361.0
경강선,경기광주,삼동,257.0
경강선,신둔도예촌,경기광주,356.0
경강선,이천,신둔도예촌,409.0
경강선,부발,이천,236.0
경강선,여주,부발,283.0
경강선,초월,여주,262.0
경강선,곤지암,초월,257.0
경강선,세종대왕릉,곤지암,435.0
공항철도,서울역,,0.0
공항철도,공덕,서울역,204.0
공항철도,홍대입구,공덕,173.0
공항철도,디지털미디어시티,홍대입구,210.0
공항철도,마곡나루,디지털미디어시티,532.0
공항철도,김포공항,마곡나루,142.0
공항철도,계양,김포공항,408.0
공항철도,검암,계양,340.0
공항철도,청라국제도시,검암,297.0
공항철도,영종,청라국제도시,632.0
공항철도,운서,영종,223.0
공항철도,공항화물청사,운서,266.0
공항철도,인천공항1터미널,공항화물청사,161.0
공항철도,인천공항2터미널,인천공항1터미널,359.0
인천2호선,검단오류,,
인천2호선,왕길,검단오류,97.0
인천2호선,검단사거리,왕길,127.0
인천2호선,마전,검단사거리,103.0
인천2호선,완정,마전,77.0
인천2호선,독정,완정,72.0
인천2호선,검암,독정,116.0
인천2호선,검바위,검암,86.0
인천2호선,아시아드경기장,검바위,119.0
인천2호선,서구정,아시아드경기장,67.0
인천2호선,가정,서구정,136.0
인천2호선,가정중앙시장,가정,99.0
인천2호선,석남,가정중앙시장,83.0
인천2호선,서부여성회관,석남,72.0
인천2호선,인천가좌,서부여성회관,89.0
인천2호선,가재울,인천가좌,121.0
인천2호선,주안 국가산단,가재울,110.0
인천2호선,주안,주안 국가산단,76.0
인천2호선,시민공원,주안,104.0
인천2호선,석바위시장,시민공원,75.0
인천2호선,인천시청,석바위시장,64.0
인천2호선,석천 사거리,인천시청,76.0
인천2호선,모래내시장,석천 사거리,67.0
인천2호선,안수,모래내시장,78.0
인천2호선,남동구청,안수,137.0
인천2호선,인천대공원,남동구청,120.0
인천2호선,운연,인천대공원,112.0
인천1호선,검단호수공원,,
인천1호선,신검단중앙,검단호수공원,90.0
인천1호선,아라,신검단중앙,120.0
인천1호선,계양,아라,240.0
인천1호선,귤현,계양,90.0
인천1호선,박촌,귤현,150.0
인천1호선,임학,박촌,90.0
인천1호선,계산,임학,90.0
인천1호선,경인교대입구,계산,90.0
인천1호선,작전,경인교대입구,60.0
인천1호선,갈산,작전,90.0
인천1호선,부평구청,갈산,90.0
인천1호선,부평시장,부평구청,90.0
인천1호선,부평,부평시장,60.0
인천1호선,동수,부평,90.0
인천1호선,부평삼거리,동수,90.0
인천1호선,간석오거리,부평삼거리,90.0
인천1호선,인천시청,간석오거리,150.0
인천1호선,예술회관,인천시청,90.0
인천1호선,인천터미널,예술회관,60.0
인천1호선,문하경기장,인천터미널,60.0
인천1호선,선학,문하경기장,60.0
인천1호선,신연수,선학,90.0
인천1호선,원인재,신연수,60.0
인천1호선,동춘,원인재,90.0
인천1호선,동막,동춘,90.0
인천1호선,캠퍼스타운,동막,120.0
인천1호선,테크노파크,캠퍼스타운,60.0
인천1호선,지식정보단지,테크노파크,120.0
인천1호선,인천대입구,지식정보단지,60.0
인천1호선,센트럴파크,인천대입구,60.0
인천1호선,국제업무지구,센트럴파크,90.0
인천1호선,송도달빛축제공원,국제업무지구,80.0
7호선,석남,,
7호선,산곡,석남,180.0
7호선,부평구청,산곡,120.0
7호선,굴포천,부평구청,80.0
7호선,삼신체육관,굴포천,70.0
7호선,상동,삼신체육관,80.0
7호선,부천시청,상동,70.0
7호선,산중동,부천시청,80.0
7호선,춘의,산중동,80.0
7호선,부천종합운동장,춘의,80.0
7호선,까치울,부천종합운동장,80.0
